 Z=0
   Mass      He            C12         016         N14      C13          Ne           Mg          Si         Fe	         N14s         C13s         S32         Ca         Rem	        
 0.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00
 2.00000E+00 0.91286E-01 0.69204E-02 0.00000E+00 0.42420E-03 0.23039E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.78000E+00							  
 3.00000E+00 0.98762E-01 0.60407E-02 0.00000E+00 0.41064E-03 0.27251E-05 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.86000E+00
 5.00000E+00 0.38254E+00 0.90022E-03 0.00000E+00 0.16338E-01 0.22234E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.94000E+00
 7.00000E+00 0.63464E+00 0.68061E-02 0.45100E-01 0.37060E-01 0.19917E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10684E+01
 9.00000E+00 0.14300E+01 0.81800E-01 0.58400E-01 0.25300E-02 0.00000E+00 0.31200E-01 0.92000E-02 0.23000E-01 0.87380E-01 0.00000E+00 0.96000E-03 0.10400E-01 0.13500E-02 0.12865E+01
 1.20000E+01 0.19900E+01 0.40090E+00 0.13660E+00 0.61630E-02 0.11900E-02 0.23200E-01 0.82000E-02 0.92700E-01 0.62150E-01 0.00000E+00 0.00000E+00 0.79400E-01 0.15000E-01 0.14450E+01 
 1.50000E+01 0.21500E+01 0.61300E+00 0.89200E+00 0.49900E-02 0.92200E-03 0.11100E+00 0.26700E-01 0.11560E+00 0.14400E+00 0.00000E+00 0.00000E+00 0.14900E-01 0.11100E-01 0.17900E+01
 2.00000E+01 0.24150E+01 0.99650E+00 0.21510E+01 0.30300E-02 0.47700E-03 0.10500E+00 0.31300E-01 0.29990E+00 0.12490E+00 0.00000E+00 0.00000E+00 0.17550E+00 0.14800E-01 0.23650E+01
 2.50000E+01 0.26800E+01 0.13200E+01 0.34100E+01 0.10800E-02 0.32100E-04 0.39400E+00 0.10600E+00 0.33910E+00 0.17450E+00 0.00000E+00 0.00000E+00 0.14880E+00 0.16900E-01 0.29400E+01
 4.00000E+01 0.54900E+01 0.16300E+01 0.71300E+01 0.10100E+00 0.84100E-03 0.12400E+01 0.23000E+00 0.80100E-01 0.33520E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.47800E+01
 6.00000E+01 0.33500E+01 0.78700E+00 0.16700E+02 0.12100E-01 0.23900E-03 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.93100E+01
 1.00000E+02 0.70900E+01 0.10000E+01 0.26100E+02 0.14000E+00 0.64400E-02 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.13100E+02
  

 
  
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 

 
 
 
 
 
 
 
