 Z=0.0004
   Mass      He            C12         016         N14    C13          Ne           Mg          Si         Fe         N14s         C13s         S32         Ca         Rem
 0.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00
 2.00000E+00 0.63000E-01 0.16000E-03 0.00000E+00 0.10000E-02 0.20200E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00
 3.00000E+00 0.13000E+00 0.76000E-03 0.00000E+00 0.24000E-02 0.34800E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.66000E+00
 5.00000E+00 0.52000E+00 0.15840E-01 0.11533E-02 0.69330E-02 0.72500E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.82000E+00
 7.00000E+00 0.91000E+00 0.30920E-01 0.25770E-02 0.11467E-01 0.12700E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.98000E+00
 9.00000E+00 0.13000E+01 0.46000E-01 0.40000E-02 0.16000E-01 0.00000E+00 0.31200E-01 0.92000E-02 0.23000E-01 0.87380E-01 0.00000E+00 0.96000E-03 0.10400E-01 0.13500E-02 0.11400E+01
 1.20000E+01 0.18000E+01 0.93000E-01 0.70000E-01 0.16000E-01 0.20600E-02 0.23200E-01 0.82000E-02 0.92700E-01 0.62150E-01 0.00000E+00 0.00000E+00 0.79400E-01 0.15000E-01 0.13400E+01
 1.50000E+01 0.20000E+01 0.19000E+00 0.39000E+00 0.14000E-01 0.29400E-02 0.11100E+00 0.26700E-01 0.11560E+00 0.14400E+00 0.00000E+00 0.00000E+00 0.14900E-01 0.11100E-01 0.16200E+01
 2.00000E+01 0.25000E+01 0.21000E+00 0.14000E+01 0.17000E-01 0.18500E-02 0.10500E+00 0.31300E-01 0.29990E+00 0.12490E+00 0.00000E+00 0.00000E+00 0.17550E+00 0.14800E-01 0.21100E+01
 2.50000E+01 0.31000E+01 0.24000E+00 0.26000E+01 0.22000E-01 0.19600E-02 0.39400E+00 0.10600E+00 0.33910E+00 0.17450E+00 0.00000E+00 0.00000E+00 0.14880E+00 0.16900E-01 0.26900E+01
 4.00000E+01 0.52000E+01 0.49000E+00 0.73000E+01 0.39000E-01 0.26700E-03 0.12400E+01 0.23000E+00 0.80100E-01 0.33520E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.44900E+01
 6.00000E+01 0.80000E+01 0.67000E+00 0.16000E+02 0.68000E-01 0.26700E-03 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.80300E+01
 1.00000E+02 0.80000E+01 0.67000E+00 0.16000E+02 0.68000E-01 0.26700E-03 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.80300E+01
  

