 Z=0.020
   Mass      He            C12         016         N14         C13          Ne           Mg          Si         Fe	     N14s         C13s         S32         Ca         Rem	    
 0.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00
 2.00000E+00 0.67000E-01 0.10000E-03 0.00000E+00 0.25400E-02 0.11900E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.66000E+00
 3.00000E+00 0.12100E+00 0.31000E-03 0.00000E+00 0.65000E-02 0.20000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.71000E+00
 5.00000E+00 0.43267E+00 0.18540E-01 0.47333E-02 0.14330E-01 0.70500E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.84000E+00
 7.00000E+00 0.74433E+00 0.36770E-01 0.10867E-01 0.22167E-01 0.11900E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.97000E+00
 9.00000E+00 0.11700E+01 0.81700E-01 0.62200E-01 0.32700E-01 0.00000E+00 0.31200E-01 0.92000E-02 0.23000E-01 0.87380E-01 0.00000E+00 0.96000E-03 0.10400E-01 0.13500E-02 0.12390E+01
 1.20000E+01 0.16000E+01 0.16300E+00 0.39200E+00 0.40400E-01 0.10800E-02 0.23200E-01 0.82000E-02 0.92700E-01 0.62150E-01 0.00000E+00 0.00000E+00 0.79400E-01 0.15000E-01 0.14620E+01 
 1.50000E+01 0.15700E+01 0.36100E+00 0.10100E+01 0.35200E-01 0.10700E-02 0.11100E+00 0.26700E-01 0.11560E+00 0.14400E+00 0.00000E+00 0.00000E+00 0.14900E-01 0.11100E-01 0.18490E+01 
 2.00000E+01 0.16200E+01 0.43300E+00 0.25700E+01 0.43300E-01 0.10100E-02 0.10500E+00 0.31300E-01 0.29990E+00 0.12490E+00 0.00000E+00 0.00000E+00 0.17550E+00 0.14800E-01 0.25660E+01 
 2.50000E+01 0.21400E+01 0.73700E+00 0.35500E+01 0.73800E-01 0.95700E-03 0.39400E+00 0.10600E+00 0.33910E+00 0.17450E+00 0.00000E+00 0.00000E+00 0.14880E+00 0.16900E-01 0.30580E+01 
 4.00000E+01 0.58900E+01 0.31100E+01 0.53600E+01 0.16300E+00 0.18000E-03 0.12400E+01 0.23000E+00 0.80100E-01 0.33520E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.38530E+01 
 6.00000E+01 0.12800E+02 0.45100E+01 0.64100E+01 0.29800E+00 0.00000E+00 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.43230E+01 
 1.00000E+02 0.26400E+02 0.32300E+01 0.47100E+01 0.65900E+00 0.00000E+00 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.37760E+01 
