 Z=10-8
   Mass      He            C12         016         N14      C13          Ne           Mg          Si         Fe	         N14s         C13s         S32         Ca         Rem	        
 0.50000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50000E+00 
 2.00000E+00 0.91286E-01 0.69204E-02 0.00000E+00 0.42420E-03 0.23039E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.78000E+00							  
 3.00000E+00 0.98762E-01 0.60407E-02 0.00000E+00 0.41064E-03 0.27251E-05 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.86000E+00
 5.00000E+00 0.38254E+00 0.90022E-03 0.00000E+00 0.16338E-01 0.22234E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.94000E+00
 7.00000E+00 0.63464E+00 0.68061E-02 0.45100E-01 0.37060E-01 0.19917E-02 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10684E+01
 9.00000E+00 0.14300E+01 0.81800E-01 0.58400E-01 0.25300E-02 0.00000E+00 0.31200E-01 0.92000E-02 0.23000E-01 0.87380E-01 0.00000E+00 0.96000E-03 0.10400E-01 0.13500E-02 0.12865E+01
 1.20000E+01 0.18990E+01 0.28390E+00 0.41000E+00 0.17900E-01 0.16100E-02 0.23200E-01 0.82000E-02 0.92700E-01 0.62150E-01 0.00000E+00 0.00000E+00 0.79400E-01 0.15000E-01 0.14200E+01 
 1.50000E+01 0.23700E+01 0.48610E+00 0.76000E+00 0.33300E-01 0.30900E-02 0.11100E+00 0.26700E-01 0.11560E+00 0.14400E+00 0.00000E+00 0.00000E+00 0.14900E-01 0.11100E-01 0.16400E+01 
 2.00000E+01 0.31500E+01 0.82300E+00 0.13500E+01 0.59000E-01 0.55500E-02 0.10500E+00 0.31300E-01 0.29990E+00 0.12490E+00 0.00000E+00 0.00000E+00 0.17550E+00 0.14800E-01 0.20000E+01 
 2.50000E+01 0.38650E+01 0.10650E+01 0.24975E+01 0.91000E-01 0.19900E-01 0.39400E+00 0.10600E+00 0.33910E+00 0.17450E+00 0.00000E+00 0.00000E+00 0.14880E+00 0.16900E-01 0.25100E+01 
 4.00000E+01 0.60100E+01 0.17900E+01 0.59400E+01 0.18700E+00 0.63100E-01 0.12400E+01 0.23000E+00 0.80100E-01 0.33520E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.40400E+01 
 6.00000E+01 0.89700E+01 0.35800E+01 0.12800E+02 0.41400E-01 0.00000E+00 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.73800E+01 
 1.00000E+02 0.16800E+02 0.78900E+01 0.12300E+02 0.17500E+01 0.56000E+00 0.21000E+01 0.27600E+00 0.00000E+00 0.33500E-01 0.00000E+00 0.00000E+00 0.12500E-01 0.16000E-02 0.57900E+01 
  

 
  
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 

 
 
 
 
 
 
 
