 Mass  Metallicity         Eu51         Eu52         Eu53         Eu54         Eu55         Eu56         Eu57
 1.30       0.0001   1.66490E-12  3.67930E-22  2.02150E-12  9.84310E-27  2.77900E-34  0.00000E+00  0.00000E+00
 1.30       0.0003   2.55630E-12  0.00000E+00  3.11170E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0010   1.42300E-11  0.00000E+00  1.71890E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0030   1.73020E-11  0.00000E+00  1.89860E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0060   1.35440E-11  0.00000E+00  1.49710E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0080   1.39600E-12  0.00000E+00  1.63790E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0100   1.42880E-13  0.00000E+00  1.64200E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0140   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0200   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0001   3.76810E-12  9.42090E-22  4.57780E-12  9.47230E-25  1.09190E-30  0.00000E+00  0.00000E+00
 1.50       0.0003   8.03750E-12  0.00000E+00  9.77520E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0010   6.76610E-11  0.00000E+00  7.80100E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0030   1.08640E-10  0.00000E+00  1.19640E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0060   1.08070E-10  0.00000E+00  1.10550E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0080   6.87910E-11  0.00000E+00  6.83380E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0100   5.48280E-11  0.00000E+00  5.37240E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0140   9.91440E-12  0.00000E+00  9.54760E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0200   5.19030E-13  0.00000E+00  4.86190E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0001   6.77710E-12  1.62820E-21  8.29860E-12  4.00240E-22  2.01650E-25  0.00000E+00  0.00000E+00
 2.00       0.0003   1.46680E-11  0.00000E+00  1.79890E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0010   1.58530E-10  0.00000E+00  1.83750E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0030   4.62040E-10  0.00000E+00  5.19350E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0060   4.50970E-10  0.00000E+00  4.84590E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0080   2.66460E-10  0.00000E+00  2.79120E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0100   1.95470E-10  0.00000E+00  1.97810E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0140   7.68930E-11  0.00000E+00  7.49310E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.00       0.0200   2.61000E-11  0.00000E+00  2.40030E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0001   6.86210E-12  2.30570E-21  8.39700E-12  6.90490E-20  3.81950E-21  3.59630E-20  2.09060E-20
 2.50       0.0003   1.61220E-11  0.00000E+00  1.96870E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0010   1.17920E-10  0.00000E+00  1.35880E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0030   6.23590E-10  0.00000E+00  7.05230E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0060   6.89940E-10  0.00000E+00  7.45400E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0080   4.73440E-10  0.00000E+00  4.97010E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0100   3.38920E-10  0.00000E+00  3.45170E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0140   1.64060E-10  0.00000E+00  1.61190E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 2.50       0.0200   6.72530E-11  0.00000E+00  6.22440E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0001   7.39890E-11  0.00000E+00  8.53310E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0003   7.39890E-11  0.00000E+00  8.53310E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0010   7.39890E-11  0.00000E+00  8.53310E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0030   2.89370E-10  0.00000E+00  3.30140E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0060   4.92430E-10  0.00000E+00  5.44840E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0080   3.53170E-10  0.00000E+00  3.84090E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0100   2.70220E-10  0.00000E+00  2.88660E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0140   1.35370E-10  0.00000E+00  1.40560E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.00       0.0200   6.82050E-11  0.00000E+00  6.57580E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
