 Mass  Metallicity         La39   
 1.30       0.0001   1.31550E-10  
 1.30       0.0003   1.94990E-10  
 1.30       0.0010   1.05410E-09  
 1.30       0.0030   1.40350E-09  
 1.30       0.0060   1.46970E-09  
 1.30       0.0080   2.22380E-10  
 1.30       0.0100   3.53240E-11  
 1.30       0.0140   0.00000E+00  
 1.30       0.0200   0.00000E+00  
 1.50       0.0001   2.75880E-10  
 1.50       0.0003   5.90070E-10  
 1.50       0.0010   5.49540E-09  
 1.50       0.0030   8.55450E-09  
 1.50       0.0060   1.16680E-08  
 1.50       0.0080   9.42430E-09  
 1.50       0.0100   9.28410E-09  
 1.50       0.0140   2.45350E-09  
 1.50       0.0200   4.66750E-10  
 2.00       0.0001   4.68350E-10  
 2.00       0.0003   1.05860E-09  
 2.00       0.0010   1.08410E-08  
 2.00       0.0030   3.92280E-08  
 2.00       0.0060   5.38240E-08  
 2.00       0.0080   3.87620E-08  
 2.00       0.0100   3.31800E-08  
 2.00       0.0140   1.56470E-08  
 2.00       0.0200   6.22340E-09  
 2.50       0.0001   3.83940E-10  
 2.50       0.0003   1.01660E-09  
 2.50       0.0010   7.89160E-09  
 2.50       0.0030   4.68220E-08  
 2.50       0.0060   8.61650E-08  
 2.50       0.0080   7.22710E-08  
 2.50       0.0100   5.90050E-08  
 2.50       0.0140   3.09910E-08  
 2.50       0.0200   1.45910E-08  
 3.00       0.0001   4.38950E-09  
 3.00       0.0003   4.38950E-09  
 3.00       0.0010   4.38950E-09  
 3.00       0.0030   2.09660E-08  
 3.00       0.0060   5.10960E-08  
 3.00       0.0080   5.02800E-08  
 3.00       0.0100   4.68460E-08  
 3.00       0.0140   2.67750E-08  
 3.00       0.0200   1.44670E-08  
