Mass  Metallicity         Rb85         Rb86         Rb87         Rb88
 1.30       0.0001   5.28510E-11  0.00000E+00  6.13150E-11  0.00000E+00
 1.30       0.0003   6.23280E-11  0.00000E+00  4.91260E-11  0.00000E+00
 1.30       0.0010   1.83140E-10  0.00000E+00  1.64270E-10  0.00000E+00
 1.30       0.0030   1.42390E-10  0.00000E+00  1.15350E-10  0.00000E+00
 1.30       0.0060   3.13610E-10  0.00000E+00  2.85850E-10  0.00000E+00
 1.30       0.0080   9.62310E-11  0.00000E+00  6.84720E-11  0.00000E+00
 1.30       0.0100   8.63240E-11  0.00000E+00  5.10870E-11  0.00000E+00
 1.30       0.0140   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0200   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0001   1.71990E-10  0.00000E+00  2.12300E-10  0.00000E+00
 1.50       0.0003   2.94410E-10  0.00000E+00  3.09300E-10  0.00000E+00
 1.50       0.0010   9.67120E-10  0.00000E+00  9.71150E-10  0.00000E+00
 1.50       0.0030   7.70810E-10  0.00000E+00  7.67210E-10  0.00000E+00
 1.50       0.0060   1.33920E-09  0.00000E+00  1.11950E-09  0.00000E+00
 1.50       0.0080   1.98340E-09  0.00000E+00  1.58750E-09  0.00000E+00
 1.50       0.0100   3.26800E-09  0.00000E+00  2.49320E-09  0.00000E+00
 1.50       0.0140   2.29200E-09  0.00000E+00  9.75980E-10  0.00000E+00
 1.50       0.0200   2.37910E-09  0.00000E+00  9.58260E-10  0.00000E+00
 2.00       0.0001   1.97090E-10  0.00000E+00  3.01060E-10  0.00000E+00
 2.00       0.0003   4.36010E-10  0.00000E+00  6.05120E-10  0.00000E+00
 2.00       0.0010   3.19450E-09  0.00000E+00  4.70660E-09  0.00000E+00
 2.00       0.0030   5.26930E-09  0.00000E+00  5.98210E-09  0.00000E+00
 2.00       0.0060   9.74310E-09  0.00000E+00  6.51020E-09  0.00000E+00
 2.00       0.0080   9.49810E-09  0.00000E+00  4.92170E-09  0.00000E+00
 2.00       0.0100   1.36640E-08  0.00000E+00  7.13430E-09  0.00000E+00
 2.00       0.0140   1.41690E-08  0.00000E+00  5.99130E-09  0.00000E+00
 2.00       0.0200   1.77910E-08  0.00000E+00  4.35500E-09  0.00000E+00
 2.50       0.0001   6.13040E-10  2.44680E-28  1.25280E-09  1.42840E-34
 2.50       0.0003   7.29980E-10  0.00000E+00  1.35580E-09  0.00000E+00
 2.50       0.0010   4.56450E-09  0.00000E+00  8.23830E-09  0.00000E+00
 2.50       0.0030   7.83270E-09  0.00000E+00  1.04400E-08  0.00000E+00
 2.50       0.0060   1.76730E-08  0.00000E+00  1.87790E-08  0.00000E+00
 2.50       0.0080   2.07990E-08  0.00000E+00  1.10760E-08  0.00000E+00
 2.50       0.0100   3.13310E-08  0.00000E+00  2.10040E-08  0.00000E+00
 2.50       0.0140   3.44120E-08  0.00000E+00  1.48630E-08  0.00000E+00
 2.50       0.0200   5.03520E-08  0.00000E+00  1.23780E-08  0.00000E+00
 3.00       0.0001   6.00630E-09  0.00000E+00  1.20800E-08  0.00000E+00
 3.00       0.0003   6.00630E-09  0.00000E+00  1.20800E-08  0.00000E+00
 3.00       0.0010   6.00630E-09  0.00000E+00  1.20800E-08  0.00000E+00
 3.00       0.0030   5.61210E-09  0.00000E+00  9.82770E-09  0.00000E+00
 3.00       0.0060   7.45740E-09  0.00000E+00  9.29280E-09  0.00000E+00
 3.00       0.0080   1.27200E-08  0.00000E+00  1.03110E-08  0.00000E+00
 3.00       0.0100   2.35210E-08  0.00000E+00  1.58010E-08  0.00000E+00
 3.00       0.0140   2.91240E-08  0.00000E+00  1.28090E-08  0.00000E+00
 3.00       0.0200   4.50360E-08  0.00000E+00  1.16310E-08  0.00000E+00
