 Mass  Metallicity         Sr86         Sr87         Sr88  
 1.30       0.0001   5.78800E-11  3.98190E-11  1.08330E-09 
 1.30       0.0003   8.73320E-11  6.02570E-11  1.46400E-09 
 1.30       0.0010   2.93450E-10  1.98730E-10  5.87630E-09 
 1.30       0.0030   3.07110E-10  1.94210E-10  6.87540E-09 
 1.30       0.0060   5.72070E-10  3.55460E-10  1.29350E-08 
 1.30       0.0080   1.40290E-10  8.77170E-11  3.36130E-09 
 1.30       0.0100   1.07030E-10  7.32990E-11  1.91070E-09 
 1.30       0.0140   0.00000E+00  0.00000E+00  0.00000E+00 
 1.30       0.0200   0.00000E+00  0.00000E+00  0.00000E+00 
 1.50       0.0001   1.44200E-10  8.97530E-11  2.10410E-09 
 1.50       0.0003   3.23090E-10  2.12140E-10  4.47660E-09 
 1.50       0.0010   1.25060E-09  8.87530E-10  2.81040E-08 
 1.50       0.0030   1.87780E-09  1.26000E-09  3.63570E-08 
 1.50       0.0060   3.66560E-09  2.37230E-09  7.27490E-08 
 1.50       0.0080   5.30200E-09  3.35130E-09  9.67010E-08 
 1.50       0.0100   8.64520E-09  5.43000E-09  1.46270E-07 
 1.50       0.0140   6.19530E-09  3.86570E-09  9.05480E-08 
 1.50       0.0200   6.03410E-09  3.77940E-09  6.76220E-08 
 2.00       0.0001   1.24500E-10  7.32860E-11  3.09400E-09 
 2.00       0.0003   2.96590E-10  1.79580E-10  6.94810E-09 
 2.00       0.0010   2.28250E-09  1.38860E-09  5.64190E-08 
 2.00       0.0030   8.05280E-09  5.55690E-09  1.91640E-07 
 2.00       0.0060   2.23180E-08  1.51870E-08  4.41930E-07 
 2.00       0.0080   2.57540E-08  1.73480E-08  4.69100E-07 
 2.00       0.0100   3.69610E-08  2.44100E-08  6.05270E-07 
 2.00       0.0140   4.10520E-08  2.66880E-08  5.78210E-07 
 2.00       0.0200   5.47130E-08  3.52170E-08  6.17970E-07 
 2.50       0.0001   2.64420E-10  9.95050E-11  3.43650E-09 
 2.50       0.0003   3.59550E-10  1.63300E-10  6.60110E-09 
 2.50       0.0010   2.25370E-09  1.04300E-09  4.96220E-08 
 2.50       0.0030   7.80120E-09  5.26370E-09  2.07300E-07 
 2.50       0.0060   3.60690E-08  2.50680E-08  7.54250E-07 
 2.50       0.0080   5.23350E-08  3.59090E-08  9.84030E-07 
 2.50       0.0100   8.30220E-08  5.52730E-08  1.34080E-06 
 2.50       0.0140   9.98130E-08  6.58250E-08  1.36930E-06 
 2.50       0.0200   1.49960E-07  9.65420E-08  1.54210E-06 
 3.00       0.0001   2.63020E-09  1.04410E-09  3.43370E-08 
 3.00       0.0003   2.63020E-09  1.04410E-09  3.43370E-08 
 3.00       0.0010   2.63020E-09  1.04410E-09  3.43370E-08 
 3.00       0.0030   3.82610E-09  2.29490E-09  1.05940E-07 
 3.00       0.0060   1.12730E-08  8.16000E-09  2.85950E-07 
 3.00       0.0080   2.40560E-08  1.73100E-08  5.22750E-07 
 3.00       0.0100   5.14540E-08  3.58940E-08  9.18460E-07 
 3.00       0.0140   7.70820E-08  5.25400E-08  1.13710E-06 
 3.00       0.0200   1.33870E-07  8.80690E-08  1.47530E-06 
