 Mass  Metallicity          Y89  
 1.30       0.0001   2.77720E-10 
 1.30       0.0003   3.51980E-10 
 1.30       0.0010   1.43950E-09 
 1.30       0.0030   1.63250E-09 
 1.30       0.0060   3.09600E-09 
 1.30       0.0080   7.91260E-10 
 1.30       0.0100   4.03930E-10 
 1.30       0.0140   0.00000E+00 
 1.30       0.0200   0.00000E+00 
 1.50       0.0001   5.34550E-10 
 1.50       0.0003   1.07130E-09 
 1.50       0.0010   7.07930E-09 
 1.50       0.0030   8.50660E-09 
 1.50       0.0060   1.67480E-08 
 1.50       0.0080   2.16670E-08 
 1.50       0.0100   3.18790E-08 
 1.50       0.0140   1.87580E-08 
 1.50       0.0200   1.29380E-08 
 2.00       0.0001   8.70650E-10 
 2.00       0.0003   1.90740E-09 
 2.00       0.0010   1.54600E-08 
 2.00       0.0030   4.73730E-08 
 2.00       0.0060   1.00240E-07 
 2.00       0.0080   1.02920E-07 
 2.00       0.0100   1.28540E-07 
 2.00       0.0140   1.18120E-07 
 2.00       0.0200   1.17230E-07 
 2.50       0.0001   1.03100E-09 
 2.50       0.0003   1.96870E-09 
 2.50       0.0010   1.48000E-08 
 2.50       0.0030   5.39260E-08 
 2.50       0.0060   1.74200E-07 
 2.50       0.0080   2.15880E-07 
 2.50       0.0100   2.84040E-07 
 2.50       0.0140   2.77120E-07 
 2.50       0.0200   2.83510E-07 
 3.00       0.0001   1.00780E-08 
 3.00       0.0003   1.00780E-08 
 3.00       0.0010   1.00780E-08 
 3.00       0.0030   3.01560E-08 
 3.00       0.0060   7.12880E-08 
 3.00       0.0080   1.22550E-07 
 3.00       0.0100   2.04370E-07 
 3.00       0.0140   2.38480E-07 
 3.00       0.0200   2.80180E-07 
