 Mass  Metallicity         Zr90         Zr91         Zr92         Zr93         Zr94         Zr95         Zr96         Zr97
 1.30       0.0001   2.74750E-10  7.99280E-11  1.25010E-10  3.74860E-11  1.68380E-10  0.00000E+00  5.75710E-11  0.00000E+00
 1.30       0.0003   3.56120E-10  9.87960E-11  1.50820E-10  4.54650E-11  2.04540E-10  0.00000E+00  3.19680E-11  0.00000E+00
 1.30       0.0010   1.57970E-09  4.33980E-10  6.83620E-10  2.17020E-10  9.85570E-10  0.00000E+00  1.82740E-10  0.00000E+00
 1.30       0.0030   1.98040E-09  4.90880E-10  8.23470E-10  2.45780E-10  1.29160E-09  0.00000E+00  1.96330E-10  0.00000E+00
 1.30       0.0060   3.58900E-09  8.84370E-10  1.48780E-09  4.54580E-10  2.25250E-09  0.00000E+00  4.33360E-10  0.00000E+00
 1.30       0.0080   8.91770E-10  2.23420E-10  3.68930E-10  1.10990E-10  5.43840E-10  0.00000E+00  1.12590E-10  0.00000E+00
 1.30       0.0100   4.07880E-10  1.01280E-10  1.68960E-10  4.09220E-11  1.90550E-10  0.00000E+00  2.58830E-11  0.00000E+00
 1.30       0.0140   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.30       0.0200   0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1.50       0.0001   4.94900E-10  1.50620E-10  2.36110E-10  7.30750E-11  3.04210E-10  0.00000E+00  1.17690E-10  0.00000E+00
 1.50       0.0003   1.05350E-09  3.04000E-10  4.65670E-10  1.44670E-10  6.21860E-10  0.00000E+00  1.41420E-10  0.00000E+00
 1.50       0.0010   7.15480E-09  2.26980E-09  3.71530E-09  9.57550E-10  4.95580E-09  0.00000E+00  9.63410E-10  0.00000E+00
 1.50       0.0030   9.76080E-09  2.65160E-09  4.47530E-09  1.25120E-09  6.71770E-09  0.00000E+00  9.17040E-10  0.00000E+00
 1.50       0.0060   1.98240E-08  5.07320E-09  8.82250E-09  2.50550E-09  1.33520E-08  0.00000E+00  1.30990E-09  0.00000E+00
 1.50       0.0080   2.51120E-08  6.26330E-09  1.08870E-08  3.09280E-09  1.61290E-08  0.00000E+00  1.49680E-09  0.00000E+00
 1.50       0.0100   3.63260E-08  8.91270E-09  1.52540E-08  4.36190E-09  2.21710E-08  0.00000E+00  1.46020E-09  0.00000E+00
 1.50       0.0140   2.04990E-08  4.88020E-09  8.21270E-09  2.32080E-09  1.14540E-08  0.00000E+00  5.06300E-10  0.00000E+00
 1.50       0.0200   1.26990E-08  2.92320E-09  4.68020E-09  1.31590E-09  5.93160E-09  0.00000E+00  1.98770E-10  0.00000E+00
 2.00       0.0001   7.60380E-10  2.50200E-10  4.12240E-10  1.34870E-10  5.37410E-10  0.00000E+00  2.40300E-10  0.00000E+00
 2.00       0.0003   1.72420E-09  5.47850E-10  9.03010E-10  3.00360E-10  1.17470E-09  0.00000E+00  4.76000E-10  0.00000E+00
 2.00       0.0010   1.33530E-08  4.78980E-09  8.41560E-09  2.20760E-09  1.03420E-08  0.00000E+00  4.52070E-09  0.00000E+00
 2.00       0.0030   5.01980E-08  1.54260E-08  2.52590E-08  6.37780E-09  3.47770E-08  0.00000E+00  5.35020E-09  0.00000E+00
 2.00       0.0060   1.13130E-07  3.08690E-08  5.03870E-08  1.28840E-08  7.30080E-08  0.00000E+00  4.61020E-09  0.00000E+00
 2.00       0.0080   1.17430E-07  3.04750E-08  5.04770E-08  1.33840E-08  7.36980E-08  0.00000E+00  4.67620E-09  0.00000E+00
 2.00       0.0100   1.45010E-07  3.65000E-08  6.00450E-08  1.59170E-08  8.65160E-08  0.00000E+00  3.30420E-09  0.00000E+00
 2.00       0.0140   1.29480E-07  3.12450E-08  5.11570E-08  1.38620E-08  7.14520E-08  0.00000E+00  1.88920E-09  0.00000E+00
 2.00       0.0200   1.19360E-07  2.74390E-08  4.36390E-08  1.20580E-08  5.67870E-08  0.00000E+00  8.78240E-10  0.00000E+00
