	  0.02		     0.008	    0.0040	0.0001
1.00     1.59e-09         1.35e-10	  -2.34e-10	 -4.01e-10
 1.25  -5.10e-10	  -3.31e-12	  -5.02e-10	  -9.52e-10
 1.50   1.37e-09	  -3.18e-10	  -9.74e-10	  -1.41e-09
 1.75   1.23e-09	  -7.54e-10	  -1.33e-09	  -1.88e-09
 1.90  -1.83e-09	  -9.33e-10	  -1.61e-09	  -2.15e-09
 2.00  -1.82e-09	  -1.18e-09	  -1.84e-09	  -2.38e-09
 2.25   1.41e-09	  -1.22e-09	  -2.08e-09	  -2.86e-09
 2.50   1.54e-09	  -1.67e-09	  -2.80e-09	  -2.92e-09
 3.00   1.01e-09	  -4.12e-09	  -4.21e-09	   5.41e-08
 3.50  -5.03e-09	  -2.21e-09	   1.66e-08	   2.26e-09
 4.00  -5.83e-09	    3.80e-08	   7.17e-09	  -4.07e-09
 4.50  -5.83e-10	  -1.74e-09	  -5.87e-09	  -5.26e-09
 5.00   1.64e-08	  -7.44e-09	  -7.61e-09	  -6.81e-09
 5.50   3.67e-09	  -8.11e-09	  -8.45e-09	  -8.13e-09
 6.00  -5.22e-10	  -9.23e-09	  -9.35e-09	  -9.18e-09
# 6.50  1.13e-07	    1.00e-20	    1.00e-20         1.00e-20
# 7.50  1.25e-07            1.00e-20	    1.00e-20         1.00e-20
